Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
1/1/2025 18:32,Matt,,9 Iron,61.845873284527634,,,,0,76.66274318544883,1.2395773414461273,27.89275360107422,-10.59136391,8060.310547,925.8400268554688,8113.309082,Measured,-6.552509785,19.51979631305471,89.23604836718408,-14.17879677,-21.85822785,93.47141362654986,-14.20534611,-22.93769247,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,65.23201016758541,4.355310440063477,-6.399193764,1.797180414199829,8.19637394,62.27130623655654,0.9546127135524012,18.66808319091797,0.6755328178405762,3554.474853515625,-631.166748,3610.077880859375,Estimated,10.069037437438965,6.085824570109317,58.703510154263554,2.4099721908569336,2.468474476564796,73.91937136,2.7572600841522217,3.555863965319002,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,62.14845752238203,,,,0,81.00448716258525,1.3034030190276635,27.279884338378906,-8.245221138,5732.638672,162.91006469726562,5734.952637,Measured,-1.627792954,21.12119320913667,100.71863756822268,-9.634698868,-16.85687563,107.69944178463594,-9.600071907,-17.96104359,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,66.56668914925993,-0.083672233,-3.986173391,-12.58599377,-8.599820137,82.65878271868849,1.2417439379228532,24.687908172607422,-10.83719921,4194.593262,501.5246582,4224.469238,Measured,-6.818176746,18.699323515670923,106.1602631683216,-13.83182812,-25.38003321,116.71563563175819,-13.92561054,-28.08901269,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,86.19863302603567,,,,0,76.34502525575347,0.8856871921935701,25.362489700317383,-6.534664154,9440.504883,2436.915283203125,9749.958008,Measured,-14.47402763,17.127141760611682,85.90402878488456,-12.60011482,-18.73952719,89.81428538511848,-12.77267742,-19.85645461,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,65.93805854458765,,,,0,87.05488340122493,1.320252450902205,29.62717056274414,-6.751442909,10278.46094,182.61558532714844,10280.08301,Measured,-1.017856956,27.855654505398434,99.00066379069865,-8.312975883,-14.31353345,100.57086393901996,-8.292590141,-14.50515273,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,72.42783530746603,-0.355587751,0.117651068,-12.48246098,-12.60011196,94.50653065249335,1.3048371562024497,27.20983123779297,-10.23865509,4842.272949,753.4610595703125,4900.541992,Measured,-8.844339371,28.750082952143952,130.466009,-15.11902142,-34.02880588,135.24067162007276,-15.16569614,-35.38047026,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,70.43744550061892,2.2266812324523926,-3.472294092,-2.826602697,0.6456913948059082,88.28250015,1.2533461360725962,30.381906509399414,-2.756313562,4718.108887,-53.1762619,4718.408203,Measured,0.6457346677780151,28.59410547104616,115.39013679884863,-2.838694334,-5.714548646,122.93820618957359,-2.798692942,-6.002736843,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,83.01704204671282,,,,0,77.60785866739414,0.9348424944329503,24.04697036743164,-2.169658899,9479.736328,1802.6905517578125,9649.616211,Measured,-10.76695442,16.90539058007802,88.37572232944758,-6.473538399,-9.963883711,92.56668291066889,-6.623208523,-10.67665305,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,9 Iron,70.05990106204449,-4.041003704,-2.129627228,-0.69566375,1.4339635372161865,86.85850806976951,1.239774917650088,14.399718284606934,-0.837907851,4993.941406,-142.7280884,4995.980469,Measured,1.6370820999145508,10.568650271531686,103.10061230329913,-0.367973447,-0.662507843,117.66663165021548,-0.302611977,-0.622433497,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,8 Iron,74.13755422331387,-2.722777367,-1.660807729,-1.997222543,-0.336414814,95.47747623604711,1.2878422715221232,26.08260726928711,-1.848375916,4766.621094,13.648395538330078,4766.640625,Measured,-0.164056122,28.359906671345495,129.98467459557668,-2.119971991,-4.808607064,138.26169158321457,-2.106264591,-5.081610417,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,8 Iron,76.61493147110717,-2.585920572,-6.143401146,-10.31370449,-4.170303345,96.47657296106316,1.2592398258222832,16.944034576416016,-9.240615845,4607.342773,300.8196105957031,4617.152832,Measured,-3.735616446,17.03488336564779,128.02013053460175,-11.17330551,-24.80739475,140.2912824068378,-11.22329998,-27.30533103,,,1.1510001,69.99998,97.22227,0
1/1/2025 18:32,Matt,,8 Iron,70.29022586797934,,,,0,68.40837027400241,0.97322735,21.032482147216797,-3.649675131,6822.507324,1278.373047,6941.242188,Measured,-10.61278343,10.086096699365063,73.29813138706477,-6.774883747,-8.646902658,82.33964808239607,-7.060664654,-10.12115967,,,1.1510001,69.99998,97.22227,0
