Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
7/27/25 4:32:09 PM,Matt,,7 Iron,63.64911645330867,,,,0.0,69.31784243436908,1.0890621315257194,8.045544624328613,21.813800811767578,2912.295166015625,-1681.4144287109375,3362.828857421875,Measured,30.000001907348633,1.6800253566481622,41.19840506806461,25.350109100341797,17.63903041315621,90.22802818478561,27.242820739746094,41.303008873005865,,,1.1314632,97.0,101.325,39
7/27/25 4:32:32 PM,Matt,,7 Iron,64.73244473860788,-2.3750739097595215,-1.576527714729309,2.745896339416504,4.322423934936523,82.16518628742325,1.2693045445635407,10.06484603881836,2.0582754611968994,4363.515625,-528.4647216796875,4395.400390625,Measured,6.905452728271484,5.258892256235304,80.89897409407381,3.7553062438964844,5.298552550668791,104.82554464932606,4.126446723937988,7.54305123239886,,,1.1314632,97.0,101.325,39
7/27/25 4:32:55 PM,Matt,,7 Iron,65.47632094528646,,,,0.0,62.7626328273765,0.9585546640566812,6.616795063018799,-8.183382987976074,5692.3515625,1622.4456787109375,5919.0537109375,Measured,-15.908720016479492,1.1426287321072341,33.34509314723111,-10.130383491516113,-5.865042290975415,62.01529231701414,-11.011275291442871,-11.845033417015042,,,1.1314632,97.0,101.325,39
7/27/25 4:33:20 PM,Matt,,7 Iron,65.75387293898214,-4.362052917480469,4.135602951049805,6.83416748046875,2.6985645294189453,76.02564334528056,1.156215443245911,17.11104965209961,6.131216049194336,2588.845703125,-97.15025329589844,2590.66796875,Measured,2.1491003036499023,8.394746329840713,83.331769741322,6.731728553771973,9.76822507663036,101.30097964095735,6.776562690734863,11.953301108519653,,,1.1314632,97.0,101.325,39
7/27/25 4:35:35 PM,Matt,,7 Iron,75.53076692880181,,,,0.0,76.16581025939374,1.0084077437104608,,-1.5821343660354614,2518.98779296875,0.0,2518.98779296875,Estimated,-0.0,,,,,,,,,,1.1314632,97.0,101.325,39
7/27/25 4:36:23 PM,Matt,,7 Iron,72.16756311415261,-0.17586520314216614,2.9134507179260254,-0.011488024145364761,-2.924938678741455,87.05361194924619,1.2062706317455565,12.115607261657715,0.35511481761932373,3935.398681640625,329.5966796875,3949.1767578125,Measured,-4.78745174407959,8.017475523660815,97.24558599143307,-0.9385778307914734,-1.5929291776054697,116.71022063060904,-1.15707528591156,-2.356820323440138,,,1.1314632,97.0,101.325,39
7/27/25 4:36:44 PM,Matt,,7 Iron,76.40238565978785,-1.8215537071228027,-1.2525664567947388,-2.834183931350708,-1.5816174745559692,100.44835854532383,1.3147280373234713,7.558862209320068,-2.484792709350586,3226.75390625,153.62612915039062,3230.408935546875,Measured,-2.7258005142211914,5.888799148386023,108.84586177368698,-3.215280532836914,-6.104862596106342,140.88963586201504,-3.363830327987671,-8.266942603277306,,,1.1314632,97.0,101.325,39
7/27/25 4:38:08 PM,Matt,,7 Iron,61.84237039166002,,,,0.0,35.45893330870992,0.5733760378869932,13.691991806030273,0.2687023878097534,6791.78369140625,-0.0005937566165812314,6791.78369140625,Measured,5.008956122765085e-06,0.9716403192318226,14.769362443805472,0.26979541778564453,0.06969419266451687,22.75419360383602,0.2690691649913788,0.1071486622095108,,,1.1314632,97.0,101.325,39
7/27/25 4:38:24 PM,Matt,,7 Iron,60.68127020478846,-1.119446039199829,-2.874191999435425,5.1133646965026855,7.987556457519531,75.82830375829764,1.249616290206033,13.519189834594727,3.840595006942749,5327.4609375,-1079.700927734375,5435.77001953125,Measured,11.456790924072266,6.7737007600011685,77.2150545295455,6.965649604797363,9.364185892273644,92.9059256405968,7.451139450073242,12.048084487648044,,,1.1314632,97.0,101.325,39
7/27/25 4:38:39 PM,Matt,,7 Iron,69.79504225504937,1.4511111974716187,-1.5405628681182861,-1.348727822303772,0.19183504581451416,89.41802623533059,1.281151545242622,1.203620433807373,-1.300641655921936,1453.257080078125,-22.901653289794922,1453.4375,Estimated,0.9028406143188477,0.07784408814585846,12.802682419357232,-1.2846611738204956,-0.2870285982952135,53.312939087341256,-1.2718013525009155,-1.1833996388960177,,,1.1314632,97.0,101.325,39
7/27/25 4:39:11 PM,Matt,,7 Iron,72.7871527566002,-4.265484809875488,0.5613927841186523,-0.41059115529060364,-0.9719839096069336,95.9000761541368,1.3175412490007143,14.644418716430664,-0.267023503780365,4598.88916015625,109.64118957519531,4600.19580078125,Measured,-1.3657186031341553,14.455006608604238,122.32253140560493,-0.7825971245765686,-1.6707500030570976,135.04619047710588,-0.8256680965423584,-1.9460391132641757,,,1.1314632,97.0,101.325,39
7/27/25 4:39:31 PM,Matt,,7 Iron,75.54850752386095,-4.819394588470459,0.4182705879211426,1.6153552532196045,1.197084665298462,96.19558207376053,1.2732955981079903,15.184600830078125,1.3792264461517334,4997.72705078125,-121.61180114746094,4999.20654296875,Measured,1.3939272165298462,15.590740522583221,122.92857766672904,1.9999778270721436,4.290352238966307,134.51164893069398,2.0341317653656006,4.774506740787002,,,1.1314632,97.0,101.325,39
